LunarDay,LunarMonth,LunarMonthLabel,LunarYear,Day,monthLabel,month,Year,dataFile,,,,
1,,Shawwal,1440,5,June,6,2019,1,,,,
2,,Shawwal,1440,6,June,6,2019,1,,,,
3,,Shawwal,1440,7,June,6,2019,1,,,,
4,,Shawwal,1440,8,June,6,2019,1,,,,
5,,Shawwal,1440,9,June,6,2019,1,,,,
6,,Shawwal,1440,10,June,6,2019,1,,,,
7,,Shawwal,1440,11,June,6,2019,1,,,,
8,,Shawwal,1440,12,June,6,2019,1,,,,
9,,Shawwal,1440,13,June,6,2019,1,,,,
10,,Shawwal,1440,14,June,6,2019,1,,,,
11,,Shawwal,1440,15,June,6,2019,1,,,,
12,,Shawwal,1440,16,June,6,2019,1,,,,
13,,Shawwal,1440,17,June,6,2019,1,,,,
14,,Shawwal,1440,18,June,6,2019,1,,,,
15,,Shawwal,1440,19,June,6,2019,1,,,,
16,,Shawwal,1440,20,June,6,2019,1,,,,
17,,Shawwal,1440,21,June,6,2019,1,,,,
18,,Shawwal,1440,22,June,6,2019,1,,,,
19,,Shawwal,1440,23,June,6,2019,1,,,,
20,,Shawwal,1440,24,June,6,2019,1,,,,
21,,Shawwal,1440,25,June,6,2019,1,,,,
22,,Shawwal,1440,26,June,6,2019,1,,,,
23,,Shawwal,1440,27,June,6,2019,1,,,,
24,,Shawwal,1440,28,June,6,2019,1,,,,
25,,Shawwal,1440,29,June,6,2019,1,,,,
26,,Shawwal,1440,30,June,6,2019,1,,,,
27,,Shawwal,1440,1,July,7,2019,1,,,,
28,,Shawwal,1440,2,July,7,2019,1,,,,
29,,Shawwal,1440,3,July,7,2019,1,,,,
1,,Ziquad,1440,4,July,7,2019,1,,,,
2,,Ziquad,1440,5,July,7,2019,1,,,,
3,,Ziquad,1440,6,July,7,2019,1,,,,
4,,Ziquad,1440,7,July,7,2019,1,,,,
5,,Ziquad,1440,8,July,7,2019,1,,,,
6,,Ziquad,1440,9,July,7,2019,1,,,,
7,,Ziquad,1440,10,July,7,2019,1,,,,
8,,Ziquad,1440,11,July,7,2019,1,,,,
9,,Ziquad,1440,12,July,7,2019,1,,,,
10,,Ziquad,1440,13,July,7,2019,1,,,,
11,,Ziquad,1440,14,July,7,2019,1,,,,
12,,Ziquad,1440,15,July,7,2019,1,,,,
13,,Ziquad,1440,16,July,7,2019,1,,,,
14,,Ziquad,1440,17,July,7,2019,1,,,,
15,,Ziquad,1440,18,July,7,2019,1,,,,
16,,Ziquad,1440,19,July,7,2019,1,,,,
17,,Ziquad,1440,20,July,7,2019,1,,,,
18,,Ziquad,1440,21,July,7,2019,1,,,,
19,,Ziquad,1440,22,July,7,2019,1,,,,
20,,Ziquad,1440,23,July,7,2019,1,,,,
21,,Ziquad,1440,24,July,7,2019,1,,,,
22,,Ziquad,1440,25,July,7,2019,1,,,,
23,,Ziquad,1440,26,July,7,2019,1,,,,
24,,Ziquad,1440,27,July,7,2019,1,,,,
25,,Ziquad,1440,28,July,7,2019,1,,,,
26,,Ziquad,1440,29,July,7,2019,1,,,,
27,,Ziquad,1440,30,July,7,2019,1,,,,
28,,Ziquad,1440,31,July,7,2019,1,,,,
29,,Ziquad,1440,1,August,8,2019,1,,,,
30,,Ziquad,1440,2,August,8,2019,1,,,,
1,,Zilhij,1440,3,August,8,2019,1,,,,
2,,Zilhij,1440,4,August,8,2019,1,,,,
3,,Zilhij,1440,5,August,8,2019,1,,,,
4,,Zilhij,1440,6,August,8,2019,1,,,,
5,,Zilhij,1440,7,August,8,2019,1,,,,
6,,Zilhij,1440,8,August,8,2019,1,,,,
7,,Zilhij,1440,9,August,8,2019,1,,,,
8,,Zilhij,1440,10,August,8,2019,1,,,,
9,,Zilhij,1440,11,August,8,2019,1,,,,
10,,Zilhij,1440,12,August,8,2019,1,,,,
11,,Zilhij,1440,13,August,8,2019,1,,,,
12,,Zilhij,1440,14,August,8,2019,1,,,,
13,,Zilhij,1440,15,August,8,2019,1,,,,
14,,Zilhij,1440,16,August,8,2019,1,,,,
15,,Zilhij,1440,17,August,8,2019,1,,,,
16,,Zilhij,1440,18,August,8,2019,1,,,,
17,,Zilhij,1440,19,August,8,2019,1,,,,
18,,Zilhij,1440,20,August,8,2019,1,,,,
19,,Zilhij,1440,21,August,8,2019,1,,,,
20,,Zilhij,1440,22,August,8,2019,1,,,,
21,,Zilhij,1440,23,August,8,2019,1,,,,
22,,Zilhij,1440,24,August,8,2019,1,,,,
23,,Zilhij,1440,25,August,8,2019,1,,,,
24,,Zilhij,1440,26,August,8,2019,1,,,,
25,,Zilhij,1440,27,August,8,2019,1,,,,
26,,Zilhij,1440,28,August,8,2019,1,,,,
27,,Zilhij,1440,29,August,8,2019,1,,,,
28,,Zilhij,1440,30,August,8,2019,1,,,,
29,,Zilhij,1440,31,August,8,2019,1,,,,
1,,MUHARRAM,1441,1,September,9,2019,1,,,,
2,,MUHARRAM,1441,2,September,9,2019,1,,,,
3,,MUHARRAM,1441,3,September,9,2019,1,,,,
4,,MUHARRAM,1441,4,September,9,2019,1,,,,
5,,MUHARRAM,1441,5,September,9,2019,1,,,,
6,,MUHARRAM,1441,6,September,9,2019,1,,,,
7,,MUHARRAM,1441,7,September,9,2019,1,,,,
8,,MUHARRAM,1441,8,September,9,2019,1,,,,
9,,MUHARRAM,1441,9,September,9,2019,1,,,,
10,,MUHARRAM,1441,10,September,9,2019,1,,,,
11,,MUHARRAM,1441,11,September,9,2019,1,,,,
12,,MUHARRAM,1441,12,September,9,2019,1,,,,
13,,MUHARRAM,1441,13,September,9,2019,1,,,,
14,,MUHARRAM,1441,14,September,9,2019,1,,,,
15,,MUHARRAM,1441,15,September,9,2019,1,,,,
16,,MUHARRAM,1441,16,September,9,2019,1,,,,
17,,MUHARRAM,1441,17,September,9,2019,1,,,,
18,,MUHARRAM,1441,18,September,9,2019,1,,,,
19,,MUHARRAM,1441,19,September,9,2019,1,,,,
20,,MUHARRAM,1441,20,September,9,2019,1,,,,
21,,MUHARRAM,1441,21,September,9,2019,1,,,,
22,,MUHARRAM,1441,22,September,9,2019,1,,,,
23,,MUHARRAM,1441,23,September,9,2019,1,,,,
