pk,LunarDay,LunarMonth,LunarMonthName,LunarYear,Day,monthName,month,Year,dataFile,hijri_date_value
2020-01-01,5,5,JAMADI-UL-AWWAL,1441,1,January,1,2020,Y2020-hijri_calendar.json,1441-05-05
2020-01-02,6,5,JAMADI-UL-AWWAL,1441,2,January,1,2020,Y2020-hijri_calendar.json,1441-05-06
2020-01-03,7,5,JAMADI-UL-AWWAL,1441,3,January,1,2020,Y2020-hijri_calendar.json,1441-05-07
2020-01-04,8,5,JAMADI-UL-AWWAL,1441,4,January,1,2020,Y2020-hijri_calendar.json,1441-05-08
2020-01-05,9,5,JAMADI-UL-AWWAL,1441,5,January,1,2020,Y2020-hijri_calendar.json,1441-05-09
2020-01-06,10,5,JAMADI-UL-AWWAL,1441,6,January,1,2020,Y2020-hijri_calendar.json,1441-05-10
2020-01-07,11,5,JAMADI-UL-AWWAL,1441,7,January,1,2020,Y2020-hijri_calendar.json,1441-05-11
2020-01-08,12,5,JAMADI-UL-AWWAL,1441,8,January,1,2020,Y2020-hijri_calendar.json,1441-05-12
2020-01-09,13,5,JAMADI-UL-AWWAL,1441,9,January,1,2020,Y2020-hijri_calendar.json,1441-05-13
2020-01-10,14,5,JAMADI-UL-AWWAL,1441,10,January,1,2020,Y2020-hijri_calendar.json,1441-05-14
2020-01-11,15,5,JAMADI-UL-AWWAL,1441,11,January,1,2020,Y2020-hijri_calendar.json,1441-05-15
2020-01-12,16,5,JAMADI-UL-AWWAL,1441,12,January,1,2020,Y2020-hijri_calendar.json,1441-05-16
2020-01-13,17,5,JAMADI-UL-AWWAL,1441,13,January,1,2020,Y2020-hijri_calendar.json,1441-05-17
2020-01-14,18,5,JAMADI-UL-AWWAL,1441,14,January,1,2020,Y2020-hijri_calendar.json,1441-05-18
2020-01-15,19,5,JAMADI-UL-AWWAL,1441,15,January,1,2020,Y2020-hijri_calendar.json,1441-05-19
2020-01-16,20,5,JAMADI-UL-AWWAL,1441,16,January,1,2020,Y2020-hijri_calendar.json,1441-05-20
2020-01-17,21,5,JAMADI-UL-AWWAL,1441,17,January,1,2020,Y2020-hijri_calendar.json,1441-05-21
2020-01-18,22,5,JAMADI-UL-AWWAL,1441,18,January,1,2020,Y2020-hijri_calendar.json,1441-05-22
2020-01-19,23,5,JAMADI-UL-AWWAL,1441,19,January,1,2020,Y2020-hijri_calendar.json,1441-05-23
2020-01-20,24,5,JAMADI-UL-AWWAL,1441,20,January,1,2020,Y2020-hijri_calendar.json,1441-05-24
2020-01-21,25,5,JAMADI-UL-AWWAL,1441,21,January,1,2020,Y2020-hijri_calendar.json,1441-05-25
2020-01-22,26,5,JAMADI-UL-AWWAL,1441,22,January,1,2020,Y2020-hijri_calendar.json,1441-05-26
2020-01-23,27,5,JAMADI-UL-AWWAL,1441,23,January,1,2020,Y2020-hijri_calendar.json,1441-05-27
2020-01-24,28,5,JAMADI-UL-AWWAL,1441,24,January,1,2020,Y2020-hijri_calendar.json,1441-05-28
2020-01-25,29,5,JAMADI-UL-AWWAL,1441,25,January,1,2020,Y2020-hijri_calendar.json,1441-05-29
2020-01-26,30,5,JAMADI-UL-AWWAL,1441,26,January,1,2020,Y2020-hijri_calendar.json,1441-05-30
2020-01-27,1,6,Jamadi-us-Sani,1441,27,January,1,2020,Y2020-hijri_calendar.json,1441-06-01
2020-01-28,2,6,Jamadi-us-Sani,1441,28,January,1,2020,Y2020-hijri_calendar.json,1441-06-02
2020-01-29,3,6,Jamadi-us-Sani,1441,29,January,1,2020,Y2020-hijri_calendar.json,1441-06-03
2020-01-30,4,6,Jamadi-us-Sani,1441,30,January,1,2020,Y2020-hijri_calendar.json,1441-06-04
2020-01-31,5,6,Jamadi-us-Sani,1441,31,January,1,2020,Y2020-hijri_calendar.json,1441-06-05
2020-02-01,6,6,Jamadi-us-Sani,1441,1,February,2,2020,Y2020-hijri_calendar.json,1441-06-06
2020-02-02,7,6,Jamadi-us-Sani,1441,2,February,2,2020,Y2020-hijri_calendar.json,1441-06-07
2020-02-03,8,6,Jamadi-us-Sani,1441,3,February,2,2020,Y2020-hijri_calendar.json,1441-06-08
2020-02-04,9,6,Jamadi-us-Sani,1441,4,February,2,2020,Y2020-hijri_calendar.json,1441-06-09
2020-02-05,10,6,Jamadi-us-Sani,1441,5,February,2,2020,Y2020-hijri_calendar.json,1441-06-10
2020-02-06,11,6,Jamadi-us-Sani,1441,6,February,2,2020,Y2020-hijri_calendar.json,1441-06-11
2020-02-07,12,6,Jamadi-us-Sani,1441,7,February,2,2020,Y2020-hijri_calendar.json,1441-06-12
2020-02-08,13,6,Jamadi-us-Sani,1441,8,February,2,2020,Y2020-hijri_calendar.json,1441-06-13
2020-02-09,14,6,Jamadi-us-Sani,1441,9,February,2,2020,Y2020-hijri_calendar.json,1441-06-14
2020-02-10,15,6,Jamadi-us-Sani,1441,10,February,2,2020,Y2020-hijri_calendar.json,1441-06-15
2020-02-11,16,6,Jamadi-us-Sani,1441,11,February,2,2020,Y2020-hijri_calendar.json,1441-06-16
2020-02-12,17,6,Jamadi-us-Sani,1441,12,February,2,2020,Y2020-hijri_calendar.json,1441-06-17
2020-02-13,18,6,Jamadi-us-Sani,1441,13,February,2,2020,Y2020-hijri_calendar.json,1441-06-18
2020-02-14,19,6,Jamadi-us-Sani,1441,14,February,2,2020,Y2020-hijri_calendar.json,1441-06-19
2020-02-15,20,6,Jamadi-us-Sani,1441,15,February,2,2020,Y2020-hijri_calendar.json,1441-06-20
2020-02-16,21,6,Jamadi-us-Sani,1441,16,February,2,2020,Y2020-hijri_calendar.json,1441-06-21
2020-02-17,22,6,Jamadi-us-Sani,1441,17,February,2,2020,Y2020-hijri_calendar.json,1441-06-22
2020-02-18,23,6,Jamadi-us-Sani,1441,18,February,2,2020,Y2020-hijri_calendar.json,1441-06-23
2020-02-19,24,6,Jamadi-us-Sani,1441,19,February,2,2020,Y2020-hijri_calendar.json,1441-06-24
2020-02-20,25,6,Jamadi-us-Sani,1441,20,February,2,2020,Y2020-hijri_calendar.json,1441-06-25
2020-02-21,26,6,Jamadi-us-Sani,1441,21,February,2,2020,Y2020-hijri_calendar.json,1441-06-26
2020-02-22,27,6,Jamadi-us-Sani,1441,22,February,2,2020,Y2020-hijri_calendar.json,1441-06-27
2020-02-23,28,6,Jamadi-us-Sani,1441,23,February,2,2020,Y2020-hijri_calendar.json,1441-06-28
2020-02-24,29,6,Jamadi-us-Sani,1441,24,February,2,2020,Y2020-hijri_calendar.json,1441-06-29
2020-02-25,1,7,Rajab,1441,25,February,2,2020,Y2020-hijri_calendar.json,1441-07-01
2020-02-26,2,7,Rajab,1441,26,February,2,2020,Y2020-hijri_calendar.json,1441-07-02
2020-02-27,3,7,Rajab,1441,27,February,2,2020,Y2020-hijri_calendar.json,1441-07-03
2020-02-28,4,7,Rajab,1441,28,February,2,2020,Y2020-hijri_calendar.json,1441-07-04
2020-02-29,5,7,Rajab,1441,29,February,2,2020,Y2020-hijri_calendar.json,1441-07-05
2020-03-01,6,7,Rajab,1441,1,March,3,2020,Y2020-hijri_calendar.json,1441-07-06
2020-03-02,7,7,Rajab,1441,2,March,3,2020,Y2020-hijri_calendar.json,1441-07-07
2020-03-03,8,7,Rajab,1441,3,March,3,2020,Y2020-hijri_calendar.json,1441-07-08
2020-03-04,9,7,Rajab,1441,4,March,3,2020,Y2020-hijri_calendar.json,1441-07-09
2020-03-05,10,7,Rajab,1441,5,March,3,2020,Y2020-hijri_calendar.json,1441-07-10
2020-03-06,11,7,Rajab,1441,6,March,3,2020,Y2020-hijri_calendar.json,1441-07-11
2020-03-07,12,7,Rajab,1441,7,March,3,2020,Y2020-hijri_calendar.json,1441-07-12
2020-03-08,13,7,Rajab,1441,8,March,3,2020,Y2020-hijri_calendar.json,1441-07-13
2020-03-09,14,7,Rajab,1441,9,March,3,2020,Y2020-hijri_calendar.json,1441-07-14
2020-03-10,15,7,Rajab,1441,10,March,3,2020,Y2020-hijri_calendar.json,1441-07-15
2020-03-11,16,7,Rajab,1441,11,March,3,2020,Y2020-hijri_calendar.json,1441-07-16
2020-03-12,17,7,Rajab,1441,12,March,3,2020,Y2020-hijri_calendar.json,1441-07-17
2020-03-13,18,7,Rajab,1441,13,March,3,2020,Y2020-hijri_calendar.json,1441-07-18
2020-03-14,19,7,Rajab,1441,14,March,3,2020,Y2020-hijri_calendar.json,1441-07-19
2020-03-15,20,7,Rajab,1441,15,March,3,2020,Y2020-hijri_calendar.json,1441-07-20
2020-03-16,21,7,Rajab,1441,16,March,3,2020,Y2020-hijri_calendar.json,1441-07-21
2020-03-17,22,7,Rajab,1441,17,March,3,2020,Y2020-hijri_calendar.json,1441-07-22
2020-03-18,23,7,Rajab,1441,18,March,3,2020,Y2020-hijri_calendar.json,1441-07-23
2020-03-19,24,7,Rajab,1441,19,March,3,2020,Y2020-hijri_calendar.json,1441-07-24
